DateTime,AddedIPs,RemovedIPs
1580035216,0,1
1580037151,0,2
1580039088,0,2
1580040985,0,1
1580044817,1,0
1580046730,1,3
1580048666,1,0
1580050573,1,1
1580052493,0,1
1580060416,0,1
1580062337,1,1
1580071932,0,1
1580090653,1,0
1580092577,1,0
1580106025,0,1
1580107931,0,1
1580119721,1,0
1580127416,1,0
1580131483,0,1
1580133397,1,1
1580135298,1,1
1580137396,0,1
1580142258,1,0
1580148166,0,1
1580154016,1,0
1580167451,1,0
1580171321,1,0
1580175373,1,0
1580177315,0,1
1580179242,0,1
1580181162,1,0
1580184979,1,0
1580188813,2,0
1580196497,1,0
1580201529,2,0
1580203466,1,0
1580207290,3,1
1580210179,2,0
1580214012,0,1
1580219778,0,1
1580221715,1,1
1580225778,3,0
1580229614,0,1
1580235408,1,0
1580239234,1,0
1580241136,1,1
1580250978,1,0
1580252913,1,1
1580254815,1,0
1580256741,2,0
1580258667,0,1
1580262493,0,1
1580266350,0,1
1580270200,0,1
1580272100,1,0
1580276174,0,2
1580278107,1,0
1580281937,1,0
1580283877,1,1
1580287718,0,2
1580289622,0,1
1580293460,0,3
1580295384,0,2
1580297293,1,0
1580299304,1,0
1580308815,0,1
1580312655,1,3
1580316544,1,0
1580318414,2,0
1580320329,2,0
1580322293,0,1
1580324172,0,1
1580328985,1,1
1580334733,1,0
1580338576,1,1
1580340516,0,2
1580342690,3,2
1580346519,1,0
1580352259,4,0
1580354178,1,0
1580358014,0,1
1580365950,0,1
1580369788,0,2
1580371704,2,0
1580379377,1,0
1580381310,1,0
1580383220,2,1
1580385141,1,1
1580387058,1,0
1580392925,2,0
1580394752,1,0
1580396770,1,0
1580398604,2,0
1580400518,1,1
1580402414,2,1
1580404364,2,1
1580406366,0,3
1580408215,1,0
1580410094,1,0
1580415853,0,1
1580419690,3,1
1580421849,2,0
1580425714,0,1
1580427617,1,0
1580429538,1,3
1580431462,1,1
1580437227,0,1
1580439134,0,4
1580448998,1,0
1580452812,1,0
1580456679,0,1
1580458580,1,1
1580464589,1,0
1580466498,0,1
1580468550,0,1
1580470356,0,2
1580472224,0,1
1580474171,0,1
1580476365,2,0
1580478259,1,1
1580480177,0,1
1580482115,3,2
1580484015,0,1
1580485937,1,1
1580487889,0,2
1580489857,0,1
1580492907,1,3
1580494821,1,0
1580496758,0,1
1580502497,1,0
1580504647,1,0
1580506577,1,3
1580508528,1,2
1580514279,0,2
1580516177,1,1
1580521944,1,0
1580525788,1,0
1580529895,1,0
1580531786,1,0
1580535633,0,1
1580539500,0,1
1580545223,0,1
1580547165,1,0
1580550986,2,1
1580563239,1,2
1580565184,1,1
1580567082,1,0
1580568995,1,3
1580573124,1,1
1580574977,2,0
1580576925,1,0
1580578827,1,0
1580580883,1,2
1580582899,1,0
1580586751,1,0
1580590576,2,2
1580592530,0,1
1580594691,0,1
1580600420,1,0
1580602391,0,1
1580608110,1,0
1580610019,1,1
1580611931,0,1
1580615774,1,0
1580617692,0,2
1580621786,1,0
1580627551,1,0
1580633311,0,1
1580635212,1,0
1580637152,0,2
1580640973,1,0
1580646015,2,0
1580649868,1,1
1580651773,0,1
1580653948,0,2
1580656113,2,0
1580658019,0,1
1580659961,0,1
1580661862,0,1
1580664057,1,1
1580665939,3,2
1580667973,1,0
1580669791,1,1
1580671695,2,0
1580673847,0,1
1580675783,0,1
1580677723,1,1
1580687299,2,1
1580691136,2,0
1580693076,1,1
1580696901,2,1
1580699222,2,0
1580703151,0,1
1580705056,1,0
1580708921,0,1
1580714669,1,1
1580720684,1,0
1580722596,0,1
1580724501,1,0
1580728358,0,1
1580732214,0,1
1580734117,0,1
1580736018,1,1
1580737938,1,0
1580741799,1,2
1580749965,0,1
1580751862,0,2
1580753781,1,1
1580755735,1,2
1580759537,0,2
1580763395,1,0
1580765308,0,1
1580767536,1,0
1580769393,1,0
1580773217,0,2
1580775178,2,0
1580777061,0,1
1580778983,0,2
1580781029,1,0
1580782895,2,2
1580784843,2,2
1580786696,1,0
1580790494,1,0
1580792709,0,1
1580794597,2,0
1580796510,1,0
1580798417,2,0
1580800467,0,1
1580806004,0,1
1580809706,1,0
1580811643,0,1
1580819860,1,0
1580821719,0,1
1580823628,1,1
1580825576,1,0
1580829413,0,1
1580837167,1,0
1580840939,2,2
1580849057,0,1
1580850981,1,0
1580852913,1,0
1580854829,0,2
1580858663,1,0
1580860590,1,2
1580864751,1,0
1580866598,2,1
1580870419,2,4
1580872350,2,0
1580874261,0,1
1580878111,1,1
1580880019,1,1
1580881944,1,2
1580883871,1,2
1580885776,1,0
1580887700,1,0
1580895624,0,1
1580903314,1,0
1580907149,0,1
1580910992,0,1
1580912891,1,1
1580915781,1,0
1580921536,1,0
1580924415,7,1
1580926338,0,1
1580928271,0,1
1580934168,1,0
1580936188,5,1
1580938091,1,1
1580941232,2,0
1580943181,3,0
1580945067,4,1
1580946971,1,1
1580951013,0,1
1580953032,3,2
1580956813,0,2
1580958751,0,2
1580962585,1,0
1580964513,0,1
1580966446,1,1
1580968347,1,1
1580970284,0,1
1580972191,0,1
1580974099,0,1
1580989940,0,1
1580999796,0,1
1581001716,0,1
1581007474,0,1
1581009389,0,3
1581011549,0,4
1581021397,0,3
1581023357,0,3
1581025226,0,1
1581029062,0,5
1581032920,0,5
1581040596,0,3
1581048512,0,1
1581052356,0,2
1581059797,1,0
1581131801,1,0
1581147378,0,1
1581153133,1,0
1581155067,1,0
1581198524,1,0
1581218181,0,1
1581239568,0,1
1581241451,0,1
1581282225,0,1
1581361934,1,0
1581366033,3,0
1581369880,1,0
1581419538,1,0
1581421472,3,0
1581423386,3,0
1581427234,2,0
1581429137,1,0
1581433004,1,0
1581437054,1,0
1581446674,1,0
1581448589,0,1
1581452435,0,3
1581456255,0,1
1581503779,1,0
