DateTime,AddedIPs,RemovedIPs
1579852936,3,2
1579856596,1,0
1579860196,0,1
1579870999,2,2
1579874537,0,1
1579878198,0,3
1579881738,1,0
1579885337,2,4
1579888997,1,6
1579892596,3,0
1579896198,3,0
1579903337,1,1
1579914137,1,1
1579917737,1,1
1579932197,1,0
1579942997,1,1
1579946597,0,2
1579953798,3,0
1579957397,2,3
1579960999,2,1
1579964600,0,1
1579968139,1,0
1579971738,0,1
1579975397,2,0
1579982537,4,8
1579986140,8,0
1579989797,0,1
1579993337,1,0
1579996998,3,1
1580000599,0,2
1580004139,1,1
1580011399,0,1
1580014998,0,1
1580025738,2,1
1580029398,0,1
1580036599,1,2
1580047398,1,1
1580054539,1,0
1580058199,1,6
1580061798,1,2
1580065398,0,1
1580072599,1,1
1580079799,4,0
1580083399,1,0
1580090599,1,2
1580094139,1,0
1580104999,2,1
1580108599,1,0
1580112199,2,0
1580126599,0,1
1580137399,1,0
1580140999,2,0
1580148199,1,1
1580151740,1,1
1580155399,3,2
1580162600,1,0
1580166141,42,1
1580169801,1,1
1580180600,2,0
1580187740,0,1
1580191401,0,2
1580198601,1,1
1580202140,1,1
1580223801,1,1
1580227340,1,0
1580231001,0,2
1580238202,1,1
1580241741,1,1
1580245761,0,4
1580249361,0,7
1580250802,2,0
1580252601,0,2
1580256141,9,0
1580259742,3,0
1580263401,2,0
1580266941,1,1
1580270541,1,3
1580274201,0,1
1580281401,0,1
1580285001,1,0
1580288601,1,1
1580303001,8,0
1580321002,0,1
1580324602,4,2
1580331802,8,0
1580335402,13,0
1580339002,2,1
1580342722,0,2
1580348302,0,1
1580349802,1,0
1580353342,1,0
1580357002,4,2
1580360542,1,0
1580367803,1,0
1580375002,2,2
1580378602,1,0
1580382203,1,0
1580392943,0,1
1580400203,0,7
1580403803,0,2
1580414604,2,2
1580418144,3,0
1580421743,0,19
1580425404,2,0
1580428943,1,1
1580436203,17,1
1580439804,0,1
1580447004,0,1
1580450545,0,1
1580457744,0,1
1580472265,1,1
1580475804,1,2
1580479344,2,1
1580483004,1,0
1580493745,0,1
1580504545,0,1
1580508144,0,1
1580515464,2,2
1580523746,0,4
1580526205,9,0
1580529744,1,2
1580533404,1,0
1580536945,1,2
1580540605,3,1
1580551405,2,2
1580555005,0,1
1580562146,2,1
1580565805,1,3
1580569406,1,1
1580573005,1,0
1580583746,1,2
1580587405,1,2
1580591065,0,1
1580594606,2,1
1580598145,1,1
1580601806,1,2
1580612546,1,3
1580619746,18,1
1580623346,0,1
1580626946,1,1
1580634206,0,4
1580637806,0,2
1580648606,0,2
1580655806,2,4
1580659406,0,2
1580662946,1,0
1580666546,9,1
1580670146,5,0
1580688146,3,3
1580691747,2,2
1580699007,0,1
1580702607,2,0
1580713348,1,1
1580717007,1,0
1580724147,0,1
1580731407,0,3
1580745808,0,2
1580749349,0,1
1580756607,1,3
1580770948,1,0
1580774608,0,3
1580781808,0,2
1580785348,2,0
1580788948,1,2
1580792609,2,21
1580796148,18,7
1580799749,2,7
1580803409,3,1
1580806948,1,2
1580810548,1,4
1580814209,3,4
1580817809,3,4
1580821410,3,1
1580825009,1,3
1580828549,2,3
1580832209,2,19
1580835809,2,22
1580839409,1,2
1580843009,1,1
1580850213,7,1
1580851252,1,0
1580857431,1,0
1580860971,1,0
1580864572,2,0
1580868171,0,1
1580871772,0,1
1580875372,0,1
1580878972,21,1
1580886172,1,1
1580893372,0,2
1580896972,1,1
1580900572,2,0
1580904232,1,2
1580911372,0,1
1580914972,1,2
1580922172,0,2
1580925772,2,1
1580929373,2,1
1580932972,0,1
1580936633,0,1
1580940173,0,1
1580943773,2,2
1580947436,0,3
1580950974,2,1
1580954633,0,1
1580958173,0,1
1580961774,0,3
1580965433,0,1
1580968973,1,0
1580972573,1,2
1580983373,2,2
1580986974,2,2
1580990574,1,0
1580994233,0,1
1580997773,0,1
1581001373,4,5
1581008574,1,0
1581012173,1,0
1581015774,4,1
1581019373,1,1
1581026634,2,2
1581033774,1,0
1581040975,2,1
1581044634,1,1
1581048174,1,1
1581051774,0,1
1581055374,1,0
1581058974,1,1
1581066174,5,1
1581069774,0,2
1581073374,1,0
1581080634,0,2
1581087774,0,2
1581094974,2,2
1581098575,1,2
1581102175,1,1
1581105775,2,2
1581112975,1,1
1581116575,2,1
1581120175,1,2
1581138175,1,3
1581141775,1,0
1581145375,1,1
1581148975,0,1
1581152576,2,1
1581156175,1,2
1581159776,1,1
1581170576,1,1
1581174176,1,2
1581177776,0,1
1581181436,0,1
1581184976,5,1
1581188576,4,0
1581199376,0,1
1581202976,1,0
1581206576,1,0
1581210176,2,2
1581213776,0,1
1581220976,0,1
1581224576,1,0
1581228176,0,2
1581231776,2,1
1581242576,1,2
1581246176,0,1
1581249776,1,1
1581256977,1,1
1581264177,0,1
1581267777,1,1
1581271377,2,2
1581274977,1,1
1581278577,2,2
1581282177,1,2
1581285777,0,1
1581289377,1,0
1581292977,1,1
1581296577,13,0
1581300177,1,0
1581307377,1,0
1581310977,1,0
1581314577,2,1
1581318177,1,1
1581321777,1,0
1581332578,1,2
1581336178,0,2
1581350578,2,0
1581354178,1,1
1581357778,1,1
1581361378,1,1
1581364978,0,2
1581372178,0,2
1581375778,0,1
1581382978,0,1
1581393778,58,1
1581397379,0,2
1581400978,0,1
1581408179,0,1
1581411779,2,0
1581418980,8,0
1581422579,2,0
1581426179,1,1
1581429779,1,0
1581433380,1,1
1581440580,1,1
1581444179,2,1
1581447779,0,1
1581451388,1,0
1581454982,1,0
1581458579,2,3
1581462179,0,1
1581465779,1,1
1581483780,1,0
1581487380,1,0
1581494580,1,0
1581498180,2,0
1581501780,0,1
1581505381,1,1
